[0] trade: price=9089.220000, volume=127
[1] trade: price=9240.720000, volume=259
[2] trade: price=9207.820000, volume=235
[3] trade: price=9240.720000, volume=13
[4] trade: price=9171.020000, volume=99
[5] trade: price=9115.850000, volume=56
[6] trade: price=9115.850000, volume=23
[7] trade: price=8894.880000, volume=94
[8] trade: price=8894.880000, volume=96
[9] trade: price=8894.880000, volume=92
[10] trade: price=8894.880000, volume=41
[11] trade: price=8894.880000, volume=98
[12] trade: price=8894.880000, volume=191
[13] trade: price=8938.010000, volume=116
[14] trade: price=8894.880000, volume=116
[15] trade: price=8938.010000, volume=268
[16] trade: price=8938.010000, volume=120
[17] trade: price=8938.010000, volume=67
[18] trade: price=8938.010000, volume=53
[19] trade: price=8755.400000, volume=293
[20] trade: price=9115.850000, volume=67
[21] trade: price=9003.530000, volume=41
[22] trade: price=9003.530000, volume=97
[23] trade: price=9115.850000, volume=117
[24] trade: price=9115.850000, volume=172
[25] trade: price=9115.850000, volume=72
[26] trade: price=9115.850000, volume=2
[27] trade: price=9335.950000, volume=13
[28] trade: price=9335.950000, volume=56
[29] trade: price=9331.420000, volume=84
[30] trade: price=9331.420000, volume=85
[31] trade: price=9331.420000, volume=53
[32] trade: price=9163.450000, volume=90
[33] trade: price=9151.160000, volume=83
[34] trade: price=9151.160000, volume=116
[35] trade: price=9151.160000, volume=62
[36] trade: price=9288.110000, volume=114
[37] trade: price=9288.110000, volume=11
[38] trade: price=9288.110000, volume=123
[39] trade: price=9288.110000, volume=261
[40] trade: price=9288.110000, volume=36
[41] trade: price=9500.730000, volume=173
[42] trade: price=9288.110000, volume=87
[43] trade: price=9288.110000, volume=79
[44] trade: price=9500.730000, volume=121
[45] trade: price=9359.830000, volume=183
[46] trade: price=9359.830000, volume=215
[47] trade: price=9185.790000, volume=86
[48] trade: price=9153.380000, volume=165
[49] trade: price=8946.070000, volume=222
[50] trade: price=9065.710000, volume=43
[51] trade: price=9065.710000, volume=107
[52] trade: price=9065.710000, volume=67
[53] trade: price=9065.710000, volume=77
[54] trade: price=8946.070000, volume=72
[55] trade: price=8916.280000, volume=122
[56] trade: price=8783.940000, volume=27
[57] trade: price=8783.940000, volume=139
[58] trade: price=8783.940000, volume=51
[59] trade: price=8783.940000, volume=11
[60] trade: price=8803.450000, volume=319
[61] trade: price=8803.450000, volume=16
[62] trade: price=8803.450000, volume=5
[63] trade: price=8836.280000, volume=177
[64] trade: price=9031.930000, volume=321
[65] trade: price=9031.930000, volume=50
[66] trade: price=8984.140000, volume=51
[67] trade: price=8889.880000, volume=43
[68] trade: price=8889.880000, volume=114
[69] trade: price=8889.880000, volume=75
[70] trade: price=8889.880000, volume=310
[71] trade: price=8879.880000, volume=221
[72] trade: price=8879.880000, volume=149
[73] trade: price=8879.880000, volume=12
[74] trade: price=8984.140000, volume=99
[75] trade: price=8984.140000, volume=196
[76] trade: price=8984.140000, volume=10
[77] trade: price=8931.150000, volume=103
[78] trade: price=8931.150000, volume=157
[79] trade: price=8863.250000, volume=85
[80] trade: price=8984.140000, volume=11
[81] trade: price=9006.040000, volume=58
[82] trade: price=9006.040000, volume=17
[83] trade: price=9006.040000, volume=129
[84] trade: price=9234.700000, volume=53
[85] trade: price=9234.700000, volume=126
[86] trade: price=9234.700000, volume=11
[87] trade: price=9234.700000, volume=186
[88] trade: price=9234.700000, volume=76
[89] trade: price=9159.140000, volume=242
[90] trade: price=9015.390000, volume=10
[91] trade: price=9159.140000, volume=7
[92] trade: price=9159.140000, volume=110
[93] trade: price=8989.880000, volume=206
[94] trade: price=8989.880000, volume=166
[95] trade: price=9171.360000, volume=73
[96] trade: price=9314.680000, volume=247
[97] trade: price=9314.680000, volume=145
[98] trade: price=8989.880000, volume=144
[99] trade: price=8989.880000, volume=7
[100] trade: price=8989.880000, volume=174
[101] trade: price=8989.880000, volume=131
[102] trade: price=8989.880000, volume=30
[103] trade: price=8989.880000, volume=202
[104] trade: price=8989.880000, volume=25
[105] trade: price=8989.880000, volume=152
[106] trade: price=8989.880000, volume=99
[107] trade: price=8989.880000, volume=39
[108] trade: price=8989.880000, volume=270
[109] trade: price=8989.880000, volume=15
[110] trade: price=8989.880000, volume=23
[111] trade: price=8989.880000, volume=21
[112] trade: price=8989.880000, volume=240
[113] trade: price=8989.880000, volume=103
[114] trade: price=8989.880000, volume=36
[115] trade: price=8867.190000, volume=10
[116] trade: price=8867.190000, volume=274
[117] trade: price=8867.190000, volume=58
[118] trade: price=8800.480000, volume=96
[119] trade: price=8767.650000, volume=179
[120] trade: price=8767.650000, volume=82
[121] trade: price=8767.650000, volume=105
[122] trade: price=8767.650000, volume=243
[123] trade: price=8767.650000, volume=61
[124] trade: price=8800.480000, volume=26
[125] trade: price=8800.480000, volume=336
[126] trade: price=8877.120000, volume=207
[127] trade: price=8800.480000, volume=8
[128] trade: price=8800.480000, volume=173
[129] trade: price=8800.480000, volume=186
[130] trade: price=8767.650000, volume=29
[131] trade: price=8767.650000, volume=57
[132] trade: price=8767.650000, volume=30
[133] trade: price=8798.700000, volume=142
[134] trade: price=8877.120000, volume=19
[135] trade: price=8877.120000, volume=89
[136] trade: price=8885.910000, volume=143
[137] trade: price=8798.700000, volume=230
[138] trade: price=8767.650000, volume=15
[139] trade: price=8767.650000, volume=140
[140] trade: price=8885.910000, volume=197
[141] trade: price=8885.910000, volume=12
[142] trade: price=8767.650000, volume=178
[143] trade: price=8767.650000, volume=97
[144] trade: price=8767.650000, volume=257
[145] trade: price=8767.650000, volume=90
[146] trade: price=8767.650000, volume=4
[147] trade: price=8767.650000, volume=31
[148] trade: price=8885.910000, volume=251
[149] trade: price=8767.650000, volume=185
[150] trade: price=8767.650000, volume=8
[151] trade: price=8834.470000, volume=99
[152] trade: price=8834.470000, volume=64
[153] trade: price=8834.470000, volume=153
[154] trade: price=8767.650000, volume=74
[155] trade: price=8684.450000, volume=19
[156] trade: price=8834.470000, volume=181
[157] trade: price=8834.470000, volume=195
[158] trade: price=8774.400000, volume=119
[159] trade: price=8885.910000, volume=71
[160] trade: price=8885.910000, volume=19
[161] trade: price=8885.910000, volume=179
[162] trade: price=8684.450000, volume=89
[163] trade: price=8684.450000, volume=10
[164] trade: price=8684.450000, volume=252
[165] trade: price=8684.450000, volume=20
[166] trade: price=8684.450000, volume=245
[167] trade: price=8605.170000, volume=44
[168] trade: price=8605.170000, volume=10
[169] trade: price=8605.170000, volume=48
[170] trade: price=8605.170000, volume=172
[171] trade: price=8605.170000, volume=67
[172] trade: price=8469.970000, volume=15
[173] trade: price=8424.200000, volume=42
[174] trade: price=8424.200000, volume=23
[175] trade: price=8424.200000, volume=47
[176] trade: price=8387.730000, volume=45
[177] trade: price=8424.200000, volume=183
[178] trade: price=8597.930000, volume=139
[179] trade: price=8597.930000, volume=56
[180] trade: price=8791.300000, volume=298
[181] trade: price=8791.300000, volume=12
[182] trade: price=8597.930000, volume=276
